title,authors,link,subject,doi,submission_v1,submission_most_recent,pdf_link,primary_subject
"          Prompt emission of relativistic protons up to GeV energies from M6.4-class solar flare on July 17, 2023","['Carlos Navia', 'Marcel Oliveira', 'Andre Nepomuceno']",https://arxiv.org/abs/2401.00002,Solar and Stellar Astrophysics (astro-ph.SR); High Energy Astrophysical Phenomena (astro-ph.HE),https://doi.org/10.1007/s13538-024-01629-1,2023-11-28 14:55:21+00:00,,https://arxiv.org/pdf/2401.00002,Solar and Stellar Astrophysics (astro-ph.SR)
"          The link among X-ray spectral properties, AGN structure and the host galaxy","['G. Mountrichas', 'A. Viitanen', 'F. J. Carrera', 'H. Stiele', 'A. Ruiz', 'I. Georgantopoulos', 'S. Mateos', 'A. Corral']",https://arxiv.org/abs/2401.00045,Astrophysics of Galaxies (astro-ph.GA),,2023-12-29 19:00:03+00:00,,https://arxiv.org/pdf/2401.00045,Astrophysics of Galaxies (astro-ph.GA)
"          Are Lithium-Rich Giants Binaries? A Radial Velocity Variability Analysis of 1,400 Giants","['Matias Castro-Tapia', 'Claudia Aguilera-Gómez', 'Julio Chanamé']",https://arxiv.org/abs/2401.00049,Solar and Stellar Astrophysics (astro-ph.SR); Astrophysics of Galaxies (astro-ph.GA),https://doi.org/10.1051/0004-6361/202349106,2023-12-29 19:00:43+00:00,2024-10-28 19:19:24+00:00,https://arxiv.org/pdf/2401.00049,Solar and Stellar Astrophysics (astro-ph.SR)
          Assessing your Observatory's Impact: Best Practices in Establishing and Maintaining Observatory Bibliographies,"['Observatory Bibliographers Collaboration', ""Raffaele D'Abrusco"", 'Monique Gomez', 'Uta Grothkopf', 'Sharon Hunt', 'Ruth Kneale', 'Mika Konuma', 'Jenny Novacescu', 'Luisa Rebull', 'Elena Scire', 'Erin Scott', 'Richard Shaw', 'Donna Thompson', 'Lance Utley', 'Christopher Wilkinson', 'Sherry Winkelman']",https://arxiv.org/abs/2401.00060,Instrumentation and Methods for Astrophysics (astro-ph.IM); Digital Libraries (cs.DL); Physics and Society (physics.soc-ph),https://doi.org/10.33232/001c.124452,2023-12-29 19:31:20+00:00,2024-10-04 18:37:19+00:00,https://arxiv.org/pdf/2401.00060,Instrumentation and Methods for Astrophysics (astro-ph.IM)
          Extreme Astrophysics with GRAVITY : energetic outbursts on the edge of the event horizon of the Galaxy's central black hole,['Aimar Nicolas'],https://arxiv.org/abs/2401.00064,High Energy Astrophysical Phenomena (astro-ph.HE),,2023-12-29 19:44:57+00:00,,https://arxiv.org/pdf/2401.00064,High Energy Astrophysical Phenomena (astro-ph.HE)
          On Prism Cross-Dispersers -- Modelling Échelle Spectrograms,"['Jakob Wierzbowski', 'Bernd Bitnar', 'Siegfried Hold']",https://arxiv.org/abs/2401.00105,Instrumentation and Methods for Astrophysics (astro-ph.IM); Instrumentation and Detectors (physics.ins-det); Optics (physics.optics),,2023-12-30 00:33:53+00:00,2024-01-28 18:47:42+00:00,https://arxiv.org/pdf/2401.00105,Instrumentation and Methods for Astrophysics (astro-ph.IM)
          Near-UV and optical spectroscopic investigation of late-type stars from MIRA/Oliver Observing Station,"['Subhajeet Karmakar', 'Avrajit Bandyopadhyay', 'Wm. Bruce Weaver', 'Riddhi Shedge', 'Jeewan C. Pandey', 'Daniel V. Cotton', 'Jean Perkins']",https://arxiv.org/abs/2401.00113,Solar and Stellar Astrophysics (astro-ph.SR),,2023-12-30 01:40:32+00:00,,https://arxiv.org/pdf/2401.00113,Solar and Stellar Astrophysics (astro-ph.SR)
          AstroSat investigation of X-ray flares on two active K-M systems: CC Eri and AB Dor,"['Subhajeet Karmakar', 'Jeewan C. Pandey', 'Nikita Rawat', 'Gurpreet Singh', 'Riddhi Shedge']",https://arxiv.org/abs/2401.00117,Solar and Stellar Astrophysics (astro-ph.SR); High Energy Astrophysical Phenomena (astro-ph.HE),,2023-12-30 02:10:19+00:00,,https://arxiv.org/pdf/2401.00117,Solar and Stellar Astrophysics (astro-ph.SR)
"          Onset mechanism of an inverted U-shaped solar filament eruption revealed by NVST, SDO, and STEREO-A observations","['Jincheng Wang', 'Xiaoli Yan', 'Qiangwei Cai', 'Zhike Xue', 'Liheng Yang', 'Qiaoling Li', 'Zhe Xu', 'Yunfang Cai', 'Liping Yang', 'Yang Peng', 'Xia Sun', 'Xinsheng Zhang', 'Yian Zhou']",https://arxiv.org/abs/2401.00185,Solar and Stellar Astrophysics (astro-ph.SR),,2023-12-30 09:35:43+00:00,,https://arxiv.org/pdf/2401.00185,Solar and Stellar Astrophysics (astro-ph.SR)
          Caustics and velocity caustics in the diffuse interstellar medium at high Galactic latitudes,['P.M.W. Kalberla'],https://arxiv.org/abs/2401.00190,Astrophysics of Galaxies (astro-ph.GA),,2023-12-30 10:06:44+00:00,,https://arxiv.org/pdf/2401.00190,Astrophysics of Galaxies (astro-ph.GA)
